en,description,es,fr,pt,nl,de
release,any record: album EP single mixtape,lanzamiento,sortie,lançamento,release,Release
review,a member's rating plus words on a release,reseña,critique,resenha,recensie,Rezension
rating,the 0-10 number,calificación,note,nota,cijfer,Bewertung
take,a short casual opinion,opinión,avis,opinião,mening,Meinung
live room,the realtime chat under a release,sala en vivo,salle en direct,sala ao vivo,live room,Live-Raum
the room,short form of live room,la sala,la salle,a sala,de room,der Raum
debate,a two-sided vote with chat,debate,débat,debate,debat,Debatte
list,a curated set of releases,lista,liste,lista,lijst,Liste
post,freeform long-form writing that may embed a video,publicación,post,post,post,Post
drop,verb: a release coming out,salir,sortir,sair,uitkomen,erscheinen
unreleased,leaked or never officially released,inédito,inédit,inédita,onuitgebracht,unveröffentlicht
leak,an unreleased song that got out,filtración,leak,vazamento,leak,Leak
loosie,a stray single not on an album,canción suelta,loosie,faixa avulsa,losse track,Loosie
follow,follow a person or a release,seguir,suivre,seguir,volgen,folgen
following,state: you follow this,siguiendo,abonné,seguindo,volgend,folge ich
follower,,seguidor,abonné,seguidor,volger,Follower
like,noun: a like on a review or list,me gusta,like,curtida,like,Like
showcase,a block a member arranges on their profile,sección,section,vitrine,showcase,Showcase
badge,trophy or role marker under a username,insignia,badge,emblema,badge,Badge
streak,consecutive days of Song of the Day,racha,série,sequência,reeks,Streak
Your Taste,product name: the personalised fullscreen feed,Tu gusto,Tes goûts,Seu gosto,Jouw smaak,Dein Geschmack
Song of the Day,daily pick feature,Canción del día,Morceau du jour,Música do dia,Nummer van de dag,Song des Tages
Community Feed,the home reviews module,Feed de la comunidad,Flux de la communauté,Feed da comunidade,Communityfeed,Community-Feed
ON AIR,live-room status stamp (uppercase),AL AIRE,À L'ANTENNE,NO AR,ON AIR,ON AIR
NO SIGNAL,the empty-state voice (uppercase),SIN SEÑAL,PAS DE SIGNAL,SEM SINAL,GEEN SIGNAAL,KEIN SIGNAL
TUNING…,loading state (uppercase),SINTONIZANDO…,RÉGLAGE…,SINTONIZANDO…,AFSTEMMEN…,SENDERSUCHE…
low detail mode,the performance toggle,modo ligero,mode léger,modo de baixo detalhe,lage-detailmodus,Modus mit wenig Details
sign in,,iniciar sesión,se connecter,entrar,inloggen,anmelden
sign up,,registrarse,s'inscrire,cadastrar-se,aanmelden,registrieren
draft,unpublished,borrador,brouillon,rascunho,concept,Entwurf
Peak Music Reviews,brand name — never translate,Peak Music Reviews,Peak Music Reviews,Peak Music Reviews,Peak Music Reviews,Peak Music Reviews
Spotify,brand — never translate,Spotify,Spotify,Spotify,Spotify,Spotify
Apple Music,brand — never translate,Apple Music,Apple Music,Apple Music,Apple Music,Apple Music
Genius,brand — never translate,Genius,Genius,Genius,Genius,Genius
stats.fm,brand — never translate,stats.fm,stats.fm,stats.fm,stats.fm,stats.fm
Musicboard,competitor name — never translate,Musicboard,Musicboard,Musicboard,Musicboard,Musicboard
